GSP Name,From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,Season,Import TL MW,Export TL MW,Import CAFPL MVA,Export CARPL MVA
Berkswell,419700,320538,32170,BESW2_#H10,BESW1_SGT1,BESW8G1,S1,Winter,-302.6,63.9,,240.0
Berkswell,419700,320538,32170,BESW2_#H10,BESW1_SGT1,BESW8G1,S1,Intermediate Cool,-259.1,63.9,,240.0
Berkswell,419700,320538,32170,BESW2_#H10,BESW1_SGT1,BESW8G1,S1,Intermediate Warm,-259.1,63.9,,240.0
Berkswell,419700,320538,32170,BESW2_#H10,BESW1_SGT1,BESW8G1,S1,Summer,-213.1,63.9,,240.0
Berkswell,419701,320540,32172,BESW2_#H20,BESW1_SGT2,BESW8G2,S2,Winter,-302.6,63.9,,240.0
Berkswell,419701,320540,32172,BESW2_#H20,BESW1_SGT2,BESW8G2,S2,Intermediate Cool,-259.1,63.9,,240.0
Berkswell,419701,320540,32172,BESW2_#H20,BESW1_SGT2,BESW8G2,S2,Intermediate Warm,-259.1,63.9,,240.0
Berkswell,419701,320540,32172,BESW2_#H20,BESW1_SGT2,BESW8G2,S2,Summer,-213.1,63.9,,240.0
Berkswell,419702,320542,32171,BESW2_#H30,BESW1_SGT3,BESW8G3,S3,Winter,-302.6,63.9,,240.0
Berkswell,419702,320542,32171,BESW2_#H30,BESW1_SGT3,BESW8G3,S3,Intermediate Cool,-259.1,63.9,,240.0
Berkswell,419702,320542,32171,BESW2_#H30,BESW1_SGT3,BESW8G3,S3,Intermediate Warm,-259.1,63.9,,240.0
Berkswell,419702,320542,32171,BESW2_#H30,BESW1_SGT3,BESW8G3,S3,Summer,-213.1,63.9,,240.0
Berkswell,419703,320524,321720,BESW2_#H60,BESW1_#680,BESW8G6,S6,Winter,-302.6,63.9,,240.0
Berkswell,419703,320524,321720,BESW2_#H60,BESW1_#680,BESW8G6,S6,Intermediate Cool,-259.1,63.9,,240.0
Berkswell,419703,320524,321720,BESW2_#H60,BESW1_#680,BESW8G6,S6,Intermediate Warm,-259.1,63.9,,240.0
Berkswell,419703,320524,321720,BESW2_#H60,BESW1_#680,BESW8G6,S6,Summer,-213.1,63.9,,240.0
Bicker Fen,490000,489908,42281,BICF4_#110,BICF1_#180,BICF8G1,S1,Winter,-160.1,263.5,,240.0
Bicker Fen,490000,489908,42281,BICF4_#110,BICF1_#180,BICF8G1,S1,Intermediate Cool,-179.1,263.5,,240.0
Bicker Fen,490000,489908,42281,BICF4_#110,BICF1_#180,BICF8G1,S1,Intermediate Warm,-179.1,263.5,,240.0
Bicker Fen,490000,489908,42281,BICF4_#110,BICF1_#180,BICF8G1,S1,Summer,-110.8,263.5,,240.0
Bicker Fen,490001,489914,42280,BICF4_#210,BICF1_#280,BICF8G2,S2,Winter,-160.1,263.5,,240.0
Bicker Fen,490001,489914,42280,BICF4_#210,BICF1_#280,BICF8G2,S2,Intermediate Cool,-179.1,263.5,,240.0
Bicker Fen,490001,489914,42280,BICF4_#210,BICF1_#280,BICF8G2,S2,Intermediate Warm,-179.1,263.5,,240.0
Bicker Fen,490001,489914,42280,BICF4_#210,BICF1_#280,BICF8G2,S2,Summer,-110.8,263.5,,240.0
Bishops Wood,100106,108932,100110,BISW2_H20,BISW1_SGT2,BISW81_G2,S2,Winter,-470.6,313.4,,480.0
Bishops Wood,100106,108932,100110,BISW2_H20,BISW1_SGT2,BISW81_G2,S2,Intermediate Cool,-409.3,313.4,,480.0
Bishops Wood,100106,108932,100110,BISW2_H20,BISW1_SGT2,BISW81_G2,S2,Intermediate Warm,-409.3,313.4,,480.0
Bishops Wood,100106,108932,100110,BISW2_H20,BISW1_SGT2,BISW81_G2,S2,Summer,-348.7,313.4,,480.0
Bishops Wood,100107,108933,100111,BISW2_H30,BISW1_SGT3,BISW81_G3,S3,Winter,-470.6,313.4,,480.0
Bishops Wood,100107,108933,100111,BISW2_H30,BISW1_SGT3,BISW81_G3,S3,Intermediate Cool,-409.3,313.4,,480.0
Bishops Wood,100107,108933,100111,BISW2_H30,BISW1_SGT3,BISW81_G3,S3,Intermediate Warm,-409.3,313.4,,480.0
Bishops Wood,100107,108933,100111,BISW2_H30,BISW1_SGT3,BISW81_G3,S3,Summer,-348.7,313.4,,480.0
Bishops Wood,100108,108934,0,BISW2_H40,BISW1_SGT4,,S4,Winter,-470.6,313.4,,480.0
Bishops Wood,100108,108934,0,BISW2_H40,BISW1_SGT4,,S4,Intermediate Cool,-409.3,313.4,,480.0
Bishops Wood,100108,108934,0,BISW2_H40,BISW1_SGT4,,S4,Intermediate Warm,-409.3,313.4,,480.0
Bishops Wood,100108,108934,0,BISW2_H40,BISW1_SGT4,,S4,Summer,-348.7,313.4,,480.0
Bridgwater,970902,871112,97220,BRWA4_110,BRWA1_#180,BRWA8A,S1,Winter,-132.5,93.4,,180.0
Bridgwater,970902,871112,97220,BRWA4_110,BRWA1_#180,BRWA8A,S1,Intermediate Cool,-93.0,93.4,,180.0
Bridgwater,970902,871112,97220,BRWA4_110,BRWA1_#180,BRWA8A,S1,Intermediate Warm,-93.0,93.4,,180.0
Bridgwater,970902,871112,97220,BRWA4_110,BRWA1_#180,BRWA8A,S1,Summer,-82.0,93.4,,180.0
Bridgwater,970903,871118,97221,BRWA4_210,BRWA1_#280,BRWA8B,S2,Winter,-132.5,93.4,,180.0
Bridgwater,970903,871118,97221,BRWA4_210,BRWA1_#280,BRWA8B,S2,Intermediate Cool,-93.0,93.4,,180.0
Bridgwater,970903,871118,97221,BRWA4_210,BRWA1_#280,BRWA8B,S2,Intermediate Warm,-93.0,93.4,,180.0
Bridgwater,970903,871118,97221,BRWA4_210,BRWA1_#280,BRWA8B,S2,Summer,-82.0,93.4,,180.0
Taunton,974301,972900,97800,TAUN4_#210,TAUN1_#280,TAUN8A,S2,Winter,-185.1,114.8,,240.0
Taunton,974301,972900,97800,TAUN4_#210,TAUN1_#280,TAUN8A,S2,Intermediate Cool,-129.1,114.8,,240.0
Taunton,974301,972900,97800,TAUN4_#210,TAUN1_#280,TAUN8A,S2,Intermediate Warm,-129.1,114.8,,240.0
